time_us,detValue
2120010,2.513700
2122010,2.670500
2123010,2.577400
2125010,2.734200
2126011,2.650900
2128010,2.611700
2129010,2.793000
2131010,2.783200
2132010,2.940000
2134010,2.660700
2135010,2.616600
2137010,2.660700
2139010,2.714600
2140010,2.582300
2142010,2.802800
2143010,2.832200
2145010,2.812600
2146010,2.611700
2148010,2.900800
2149010,2.699900
2151010,2.626400
2152010,2.665600
2154010,2.538200
2156010,2.606800
2157010,2.753800
2159010,2.719500
2160010,2.744000
2162010,2.822400
2163010,2.729300
2165010,2.851800
2166010,2.778300
2168010,2.587200
2169010,2.748900
2171010,2.675400
2172010,2.665600
2174010,2.538200
2176010,2.709700
2177010,2.680300
2179010,2.572500
2180011,2.851800
2182010,2.817500
2183010,2.660700
2185010,2.631300
2186010,2.543100
2188010,2.611700
2189010,2.641100
2191010,2.567600
2193010,2.704800
2194010,2.685200
2196010,2.822400
2197010,2.748900
2199010,2.719500
2200010,2.724400
2202010,2.572500
2203010,2.744000
2205010,2.655800
2206010,2.763600
2208010,2.714600
2210010,2.636200
2211010,2.587200
2213010,2.817500
2214010,2.969400
2216010,2.832200
2217010,2.665600
2219010,2.597000
2220010,2.797900
2222010,2.797900
2223010,2.797900
2225010,2.797900
2226010,2.601900
2228010,2.685200
2230010,2.891000
2231010,2.797900
2233010,2.861600
2234011,2.866500
2236010,2.714600
2237010,2.597000
2239012,2.572500
2240010,3.126200
2242010,2.959600
2243010,2.925300
2245010,2.920400
2247010,3.160500
2248010,3.136000
2250010,3.038000
2251010,2.915500
2253010,2.915500
2254010,2.881200
2256010,2.940000
2257010,2.935100
2259010,2.881200
2260010,2.949800
2262010,2.900800
2264010,3.047800
2265010,3.214400
2267010,2.915500
2268010,2.974300
2270010,2.915500
2271010,2.886100
2273010,3.116400
2274010,2.979200
2276010,3.018400
2277010,3.052700
2279010,2.935100
2280010,3.140900
2282010,3.155600
2284010,3.140900
2285010,2.969400
2287010,3.067400
2288011,2.817500
2290010,3.052700
2291010,2.856700
2293010,3.018400
2294010,2.964500
2296010,2.940000
2297010,2.959600
2299010,3.047800
2301010,2.998800
2302010,2.930200
2304010,3.018400
2305010,2.959600
2307010,3.028200
2308010,3.028200
2310010,3.003700
2311010,2.935100
2313010,2.920400
2314010,3.003700
2316010,2.949800
2318010,3.033100
2319010,2.866500
2321010,3.023300
2322010,2.935100
2324010,2.930200
2325010,3.101700
2327010,3.003700
2328010,2.900800
2330010,2.989000
2331010,3.209500
2333010,3.033100
2334010,2.905700
2336010,3.091900
2338010,3.096800
2339010,3.062500
2341010,3.091900
2342011,2.915500
2344010,3.023300
2345010,3.131100
2347010,3.155600
2348010,3.008600
2350010,3.175200
2351010,2.964500
2353010,2.964500
2355010,2.954700
2356010,3.033100
2358010,2.832200
2359010,3.008600
2361010,3.140900
2362010,3.106600
2364010,3.185000
2365010,3.008600
2367010,2.989000
2368010,3.028200
2370010,2.959600
2372010,3.111500
2373010,2.989000
2375010,3.082100
2376010,2.944900
2378010,3.028200
2379010,3.047800
2381010,3.131100
2382010,3.170300
2384010,3.077200
2385010,2.959600
2387010,2.959600
2388010,3.008600
2390010,3.096800
2392010,3.008600
2393014,3.077200
2395010,2.846900
2396011,2.861600
2398010,2.685200
2399010,2.832200
2401010,2.631300
2402010,2.631300
2404010,2.739100
2405010,2.552900
2407010,2.601900
2409010,2.724400
2410010,2.763600
2412010,2.611700
2413010,2.773400
2415010,2.704800
2416010,2.680300
2418010,2.582300
2419010,2.778300
2421010,2.577400
2422010,2.837100
2424010,2.587200
2426010,2.621500
2427010,2.582300
2429010,2.763600
2430010,2.763600
